,name,products,completed_orders,ships_from
378,idealpills,[],0,[]
379,smokydog,[],0,[]
380,TheDoctor,"['Stimulants', 'Mushrooms']",0,['Netherlands']
381,weedstore,['Weed'],22,['United States']
382,frankDuke,"['Money', 'Other']",0,['France']
383,Ables1,[],0,[]
384,charching187,[],0,[]
385,MORNINGSTAR,[],0,[]
386,colombiaconnec,[],0,[]
387,FantasticMrFox,"['Weed', 'Concentrates', 'Other']",1,['United Kingdom']
388,DutchDope,"['Weed', 'Amphetamine', 'LSD', 'MDMA', 'DMT']",0,['Netherlands']
389,medicwolf,"['Relaxants', 'Other', 'Benzos']",34,['Germany']
390,Budfather,[],0,[]
391,sixandeight,"['Dumps', 'Accounts', 'Fraud', 'Hacking', 'Security Software', 'Cards & CVV', 'E-Books', 'Other', 'Personal Info']",147,[]
392,jacksh,['Weed'],0,['France']
393,brainpuddles,['Benzos'],0,['United States']
394,Drugshouse,['Amphetamine'],0,['Germany']
395,rodrigo,"['Accounts', 'Fraud', 'Cards & CVV', 'Software Keys']",0,['Netherlands']
396,Tornad0cc,['Cards & CVV'],1,[]
397,Apothecarius,"['Steroids', 'Amphetamine', 'Benzos', 'Methamphetamine', 'Stimulants']",0,['United States']
398,TrumpTower,"['Heroin', 'Cocaine', 'Oxycodone', 'Methamphetamine', 'Benzos']",1,"['United Kingdom', 'United States']"
399,OxySixX,[],0,[]
400,ShroomTown,['Mushrooms'],37,['United States']
401,Krocodealer,['Cocaine'],0,['Germany']
402,monoko,"['Stimulants', 'Benzos', 'Weight Loss', 'Drugs']",350,['United Kingdom']
403,alwaysflakes,"['Oxycodone', 'Cocaine', 'MDMA', 'Heroin', 'MDA', 'Crack', 'Weed', 'Concentrates', 'XTC Pills', 'LSD', 'Benzos']",0,['United States']
404,Timmyturner,"['Heroin', 'Methamphetamine', 'Benzos', 'LSD', 'Ketamine']",4,['Netherlands']
405,benzosandweed,['Benzos'],9,['United Kingdom']
406,CheechandChong,['Cocaine'],550,['Germany']
